pnid,MVIT,RVIT,XRVIT,TYP,Q1,Q1_1a1,Q1_1a2,Q1_1a3,Q2a1,Q2a2,Q2a3,Q2a_dk,Q2_1a1,Q2_1a2,Q2_1a3,ZQ2_31,ZQ2_32,ZQ2_33,ZQ2_34,Q2_3a2at,Q2_3a2bt,Q2_3a2ct,Q2_3a2dt,Q2_3a2et,Q2_3a3at,Q2_3a3bt,Q2_3a3ct,Q2_3a3dt,Q2_3a3et,Q2_3b2a,Q2_3b2b,Q2_3b2c,Q2_3b2d,Q2_3b2e,Q2_3b3a,Q2_3b3b,Q2_3b3c,Q2_3b3d,Q2_3b3e,Q3_1a1,Q3_1a2,Q3_1a3,Q3_2a1,Q3_2a2,Q3_2a3,Q4a1,Q4a2,Q4a3,Q4a_dk,Q4_1a1,Q4_1a2,Q4_1a3,Q4_2a1,Q4_2a2,Q4_2a3,Q4_2a_dk,Q5,Q5_1a01,Q5_1a02,Q5_1a03,Q5_1a04,Q5_1a05,Q5_1a06,Q5_1a07,Q5_1a08,Q5_1a09,Q5_1a10,Q5_1a_dk,Q6,Q6_1,Q6_1R,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,MQ7_1,MQ7_1제외,MQ7_2,MQ7_1$15제외,MQ7_1제외$15제외,RQ7_1,RQ7_1제외,RQ7_2,RQ7_1$15제외,RQ7_1제외$15제외,Q8a01,Q8a02,Q8a03,Q8a04,Q8a05,Q8a06,Q8a07,Q8a08,Q8a09,Q8a10,Q8a11,Q8a12,Q8a13,Q8a14,Q8a15,Q8a16,Q8a17,Q8a18,Q8a19,Q8a20,Q8_1a1,Q8_1a2,Q8_1a3,Q9_1_1,Q9_1_2,Q9_1_3,Q9_1_4,Q9_1_5,Q9_2a01,Q9_2a02,Q9_2a03,Q9_2a04,Q9_2a05,Q9_2a06,Q9_2a07,Q9_2a08,Q9_2a09,Q9_2a10,Q9_2a11,Q9_2a12,Q9_2a13,Q9_2a14,Q9_2a15,Q9_2a16,Q9_2a17,KWON1,KWON2,KWON3,KWON4,KWON5,KWON6,KWON7,KWON8,KWONA1,KWONA2,KWONA3,KWONB1,KWONB2,M박HAP,M일HAP,M일HAP_61,R일HAP,서울박TOT,경기박TOT,인천박TOT,강원박TOT,대전박TOT,충북박TOT,충남박TOT,세종박TOT,경북박TOT,경남박TOT,대구박TOT,울산박TOT,부산박TOT,광주박TOT,전북박TOT,전남박TOT,제주박TOT,서울일TOT,경기일TOT,인천일TOT,강원일TOT,대전일TOT,충북일TOT,충남일TOT,세종일TOT,경북일TOT,경남일TOT,대구일TOT,울산일TOT,부산일TOT,광주일TOT,전북일TOT,전남일TOT,제주일TOT,서울박60,경기박60,인천박60,강원박60,대전박60,충북박60,충남박60,세종박60,경북박60,경남박60,대구박60,울산박60,부산박60,광주박60,전북박60,전남박60,제주박60,서울일61,경기일61,인천일61,강원일61,대전일61,충북일61,충남일61,세종일61,경북일61,경남일61,대구일61,울산일61,부산일61,광주일61,전북일61,전남일61,제주일61,WQ9_5a01,WQ9_5a02,WQ9_5a03,WQ9_5a04,WQ9_5a05,WQ9_5a06,WQ9_5a07,WQ9_5a08,WQ9_5a09,WQ9_5a10,WQ9_5a11,WQ9_5a12,WQ9_5a13,WQ9_5a14,WQ9_5a15,WQ9_5a16,WQ9_5a17,Q9_5A1,Q9_5A2,Q9_5A3,Q9_5A4,Q9_5A5,Q9_5A6,Q9_5A7,Q9_5A8,Q9_5A9,호텔숙박,모텔숙박,콘도숙박,게스숙박,민박숙박,학교숙박,친척숙박,기타숙박,호텔숙박60,모텔숙박60,콘도숙박60,게스숙박60,민박숙박60,학교숙박60,친척숙박60,기타숙박60,총액1인TOT2,C총액1인TOT2,총액1인TOT_개별국제교통비제외2,C총액1인TOT_개별국제교통비제외2,MDAY전체TOT_RAW61,RDAY전체TOT_RAW61,MDAY전체_개별국제교통비제외61,RDAY전체_개별국제교통비제외61,MDAY개별대체61,MDAY에어대체61,MDAY단체대체61,RDAY개별대체61,RDAY에어대체61,RDAY단체대체61,MDAY개별대체_개별국제교통비제외61,MDAY에어대체_개별국제교통비제외61,MDAY단체대체_개별국제교통비제외61,RDAY개별대체_개별국제교통비제외61,RDAY에어대체_개별국제교통비제외61,RDAY단체대체_개별국제교통비제외61,여행사1인대체,가이드1인대체,숙박비1인대체,음식점1인대체,식음료1인대체,국제한국1인대체,국제국외1인대체,국제수상1인대체,한국한국1인대체,한국국외1인대체,한국수상1인대체,한국철도1인대체,한국도로1인대체,대여서1인대체,유류비1인대체,문화서1인대체,오락및1인대체,쇼핑비1인대체,데이터1인대체,치료및1인대체,미용서1인대체,기타비1인대체,단기투어상품1인대체,C여행사1인대체,C가이드1인대체,C숙박비1인대체,C음식점1인대체,C식음료1인대체,C국제한국1인대체,C국제국외1인대체,C국제수상1인대체,C한국한국1인대체,C한국국외1인대체,C한국수상1인대체,C한국철도1인대체,C한국도로1인대체,C대여서1인대체,C유류비1인대체,C문화서1인대체,C오락및1인대체,C쇼핑비1인대체,C데이터1인대체,C치료및1인대체,C미용서1인대체,C기타비1인대체,C단기투어상품1인대체,Q10_2a01,Q10_2a02,Q10_2a03,Q10_2a04,Q10_2a05,Q10_2a06,Q10_2a07,Q10_2a08,Q10_2a09,Q10_2a10,Q10_2a11,Q10_2a12,Q10_2a13,MQ10_2b01,MQ10_2b02,MQ10_2b03,MQ10_2b04,MQ10_2b05,MQ10_2b06,MQ10_2b07,MQ10_2b08,MQ10_2b09,MQ10_2b10,MQ10_2b11,MQ10_2b12,MQ10_2b13,Q10_3a1,Q10_3a2,Q10_3a3,Q11,Q12a01,Q12a02,Q12a03,Q12a04,Q12a05,Q12a06,Q12a07,Q12a08,Q12a09,Q12a10,Q12a11,Q12a12,Q12a13,Q12a14,Q12a15,Q12a16,Q12a17,Q12a18,Q12a19,Q12a20,Q12a21,Q12a22,Q12a23,Q12a24,Q12a25,Q12a26,Q12a27,Q13,Q14,D_MON,D_BUN,D_NAT,D_NAT2,D_SEX,D_AGE,D_MOK,D_NUM,D_GUB,weight1,weight2,weight3,weight4,weight
10405,4,4,5,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,11,2,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,18,,,18,,,99999,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,4,5,5,5,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1166.60,2,609.60,1,233.32,3,121.92,3,233.32,,,3,,,121.92,,,3,,,,0.00,92.83,154.72,0.00,0.00,557.00,0.00,0.00,0.00,0.00,15.47,30.94,0.00,0.00,0.00,0.00,309.44,6.19,0.00,0.00,0.00,0.00,,1,2,4,1,1,5,1,1,1,1,2,3,1,1,1,1,4,2,1,1,1,1,,,3,4,,,,,,,11,,,0.00,0.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,4,6,,5,4,5,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,7,3,3,,1,5,3,4,1,,,1056.68,,1056.68
10406,4,4,5,1,3,,,,1,2,3,,9,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,8,1,,,,,11,2,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,18,,,1,18,,11003,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,3,4,4,4,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,3,,,,,,,,5801.22,5,1504.02,2,1450.31,5,376.01,4,1450.31,,,5,,,376.01,,,4,,,,0.00,1074.30,322.29,21.49,0.00,4297.20,0.00,0.00,0.00,0.00,0.00,53.72,0.00,0.00,0.00,0.00,0.00,32.23,0.00,0.00,0.00,0.00,,1,5,4,2,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,4,5,,,,,,,,,,,,,,,,4,4,4,4,5,4,4,9,5,9,,4,4,7,3,19,,1,4,3,4,1,,,366.41,,366.41
10408,1,1,,1,3,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,11,3,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,,3,,,,,,,,,,,,,,,18,,,1,3,18,11513,,,,,1,,,,,,,,,,11,,,,,,,1,,,,,6,,,,,3,1,2,6,7,7,7,1,,,,,,,,,,5,,,,,,,2,,,,,,,,,,6,,,,,,,1,,,,,,,,,,5,,,,,,,2,,,,,,,,,,6,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,6,,,,,,,,6,,,,,,,,3384.05,4,1611.45,2,483.44,4,230.21,3,483.44,,,4,,,230.21,,,3,,,,0.00,945.38,590.87,53.72,1772.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.49,0.00,0.00,0.00,0.00,,1,5,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,4,5,,5,,,,,,,,,,,,,,5,5,5,5,3,5,2,3,5,3,,5,5,7,3,97,,1,3,3,1,1,,,1606.20,,1606.20
10409,2,2,5,1,1,7,2,3,6,1,2,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,8,2,5,6,4,,,,,,,,,,11,4,1,,,,5,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,,,,,8,,,11,,,,,,,,,20,11,2,3,11002,26006,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,31,32,32,11,28,,,,,,,,,,,,3,,,,,29,,,,,,,,,,,,4,,,,,28,,,,,,,,,,,,3,,,,,29,,,,,,,,,,,,4,,,,,7,,,,,,,,,,,,2,,,,,,2,,,,,7,,,,3,,,,,28,,,3,,,,,28,,2943.58,3,1493.28,2,91.99,2,46.66,1,91.99,,,2,,,46.66,,,1,,,,0.00,322.29,537.15,214.86,1450.31,0.00,0.00,0.00,0.00,0.00,171.89,0.00,0.00,0.00,0.00,0.00,214.86,32.23,0.00,0.00,0.00,0.00,,1,4,4,4,4,1,1,1,1,1,4,1,1,1,1,1,4,3,1,1,1,1,,,3,,,,,,,,,,,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,,5,5,5,5,,,,,5,,,5,,,,,,5,5,5,5,5,5,5,5,5,5,,4,4,7,3,97,,1,1,1,2,1,,,1540.01,,1540.01
10410,1,1,,1,1,1,5,9,2,6,9,,1,,,,2,,4,1,,,,,,,,,,,,,,,,,,,,12,6,5,3,5,6,1,,,,5,3,10,8,5,2,,5,1,2,,4,,,7,8,9,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,,5,6,7,,,,,,13,,,,,,,,13,3,6,11001,,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,,,3,1,2,4,5,5,5,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,4,,,,,,,,4,,,,,,,,1412.70,2,768.12,1,282.54,3,153.62,3,282.54,,,3,,,153.62,,,3,,,,0.00,295.43,214.86,21.49,644.58,0.00,0.00,0.00,0.00,0.00,75.20,16.11,0.00,0.00,21.49,0.00,107.43,16.11,0.00,0.00,0.00,0.00,,1,4,4,2,4,1,1,1,1,1,3,2,1,1,2,1,4,2,1,1,1,1,1,2,,,,,,,9,10,,,,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,10.00,0.00,0.00,0.00,6,7,4,4,5,3,3,,2,2,2,,,,,,4,,,,4,4,4,3,3,3,4,3,3,4,,3,4,7,3,97,,2,6,1,1,1,,,1507.15,,1507.15
10411,1,1,,1,1,8,1,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,3,1,1,3,,,1,4,5,,,,11,5,1,,,,,,,,,,,2,,,2,,,,4,5,,,,7,6,0,7,6,3,3,0,3,3,1,2,3,4,5,6,,,,,,12,,,,,,,,,2,1,12,11002,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,6,7,7,7,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,6,,,,,,,,2900.00,3,1893.06,2,414.29,4,270.44,3,414.29,,,4,,,270.44,,,3,,,,0.00,302.08,302.08,100.69,0.00,1006.94,0.00,0.00,0.00,0.00,30.21,100.69,0.00,0.00,0.00,0.00,1006.94,50.35,0.00,0.00,0.00,0.00,,1,4,4,4,1,5,1,1,1,1,3,4,1,1,1,1,4,3,1,1,1,1,1,,3,,5,,,,,,,,,10.00,0.00,50.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,,4,3,4,4,4,4,4,,,,,,4,,,,,4,3,4,4,4,4,3,4,4,4,,3,3,7,3,4,,2,4,1,1,1,,,1038.53,,1038.53
10412,5,4,5,1,2,2,3,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,15,2,6,5,4,4,1,,,2,1,5,2,9,,,6,,,,,,,,,,,99,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,4,,,,,,,11,,,,15,,,,,,1,2,15,50500,,,,,1,,3,4,,,,,,,,,,,,,17,1,,3,4,,,,8,,,3,1,2,11,12,12,11,4,,2,1,,,,,,,,,,,,,4,5,,3,2,,,,,,,,,,,,,5,4,,2,1,,,,,,,,,,,,,4,5,,3,2,,,,,,,,,,,,,5,1,,7,1,,,,,,,,,,,,,1,1,,,,,,7,,,9,,,,,,2,,9,,,,,,2,,3377.00,4,2160.07,3,281.42,3,180.01,3,281.42,,,3,,,180.01,,,3,,,,0.00,0.03,0.00,0.00,0.00,1216.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2129.62,30.42,0.00,0.00,0.00,0.00,,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,2,,,5,,,,,,,,,20.00,50.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,6,7,5,5,5,,5,,,,,,,5,,,,5,,3,3,4,4,4,4,3,4,4,4,,5,5,7,3,3,,2,2,2,4,1,,,1416.61,,1416.61
10413,1,1,,1,1,1,9,8,1,2,6,,1,8,,1,,,,,,,,,,,,,,,,,,,,,,,,5,15,11,6,1,3,5,1,,,1,,,1,3,9,,6,1,,,,,,,,,,,2,,,2,,,3,,5,,,,4,3,1,3,2,3,3,1,3,2,1,2,3,4,5,6,7,,,,11,,,,,,,,,,7,5,2,11002,,,,,1,2,3,4,,,,,,,,,,,,,,1,2,3,4,,,,,,,3,1,2,14,15,15,11,14,0,0,0,,,,,,,,,,,,,,15,2,1,1,,,,,,,,,,,,,,14,0,0,0,,,,,,,,,,,,,,15,2,1,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,,,,,,14,2108.31,3,1034.01,2,140.55,3,68.93,2,140.55,,,3,,,68.93,,,2,,,,0.00,537.15,268.58,0.00,0.00,1074.30,0.00,0.00,0.00,0.00,26.86,26.86,0.00,0.00,40.29,0.00,107.43,26.86,0.00,0.00,0.00,0.00,,1,5,4,1,1,5,1,1,1,1,2,2,1,1,3,1,4,2,1,1,1,1,1,,3,,,,,,,,,,,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,5,5,5,5,5,5,5,4,,,,5,,,,,,5,3,5,4,3,5,5,5,5,5,,5,5,7,3,18,,1,1,1,1,1,,,234.15,,234.15
10414,1,1,,1,3,,,,1,2,5,,9,2,4,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,,,,,,,,11,2,1,,,,,,,,,,,2,,,2,,,,,,,7,,2,1,0,2,1,2,1,0,2,1,,,,,,,,,,,,,,,,,,18,,,18,,,41901,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,6,7,7,7,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,6,,,,,,,,921.00,1,921.00,1,131.57,3,131.57,3,131.57,,,3,,,131.57,,,3,,,,0.00,767.50,153.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,3,,,,,,,,,,,,,,,,,5,4,5,4,5,5,4,4,4,5,,5,4,7,3,3,,1,3,3,1,1,,,761.23,,761.23
10415,1,1,,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,,9,5,1,8,9,2,,6,1,,,4,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,3,,5,6,7,,,,,,,,,,,,,,1,2,7,11001,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,7,8,8,8,7,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,7,,,,,,,,2148.60,3,1289.16,2,268.58,3,161.15,3,268.58,,,3,,,161.15,,,3,,,,0.00,537.15,537.15,0.00,0.00,859.44,0.00,0.00,0.00,0.00,64.46,0.00,0.00,0.00,21.49,0.00,107.43,21.49,0.00,0.00,0.00,0.00,,1,5,4,1,1,5,1,1,1,1,3,1,1,1,2,1,4,2,1,1,1,1,1,,,,,,,,,,,,,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,5,5,5,5,,5,5,5,,,,,,,,,,4,5,5,5,5,5,5,5,5,5,,5,5,7,3,18,,2,3,3,1,1,,,127.25,,127.25
10416,2,2,5,1,4,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,5,6,2,6,,,,5,1,2,,,5,,,,,,,2,,,2,,,,,5,6,,,4,3,0,4,3,3,3,0,3,3,1,2,3,,5,6,7,8,,10,,12,,,,,,,19,,8,6,12,11001,,,,,1,,,,,,,,,,,,13,14,,,,1,,,,,6,7,,,,3,1,2,73,74,,12,10,,,,,,,,,,,,3,60,,,,11,,,,,,,,,,,,4,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,5,,,,1,,,,5,,,,,13,,,,60,,,,,,,,,,,,4404.63,4,3341.99,4,,,,,,,,,,,,,,,,,,0.00,1062.64,531.32,531.32,0.00,1062.64,0.00,0.00,0.00,0.00,85.01,37.19,0.00,0.00,31.88,42.51,956.37,63.76,0.00,0.00,0.00,0.00,,1,5,4,4,1,5,1,1,1,1,3,3,1,1,3,3,4,3,1,1,1,1,1,2,3,,5,6,,,,,11,,,15.00,10.00,15.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,3,5,6,5,5,5,5,,5,5,5,5,,5,,5,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,7,3,19,,2,2,4,2,1,,,341.95,,341.95
10417,1,1,,1,1,1,6,4,1,4,5,,1,7,8,,,3,4,,,,,,20,,,,,,,,,,,,,,,6,2,4,3,6,2,1,2,4,,10,1,7,6,4,2,,4,1,,,,,,,,,,,2,,,2,,2,,,,,,,2,1,0,2,1,2,1,0,2,1,1,2,3,4,5,6,,,,,11,,,,,,,,,,11,2,3,11901,11032,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,7,8,8,8,7,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,7,,,,,,,,3329.50,4,2311.30,3,416.19,4,288.91,3,416.19,,,4,,,288.91,,,3,,,,0.00,1018.20,509.10,33.94,1018.20,0.00,0.00,0.00,0.00,0.00,20.36,0.00,0.00,0.00,16.97,0.00,678.80,33.94,0.00,0.00,0.00,0.00,,1,5,4,3,4,1,1,1,1,1,2,1,1,1,2,1,4,3,1,1,1,1,1,2,,,,6,,8,,,,,,20.00,50.00,0.00,0.00,0.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,4,5,,5,5,5,5,5,5,5,,,,,5,,,,,,5,5,5,5,5,5,3,5,5,5,,4,5,7,3,15,,1,6,1,1,1,,,397.58,,397.58
10418,1,1,,3,1,1,8,5,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,3,1,6,2,4,,,,,,,,,11,4,,,,,,,,,,,,,,,2,,,,4,,,,,4,3,0,4,3,3,3,0,3,3,1,2,3,,5,,,,9,,,,,,,,,,,,3,5,1,42002,,,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,,,3,1,2,5,6,6,6,4,,,1,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,5,,,,,,,,1228.00,2,1228.00,2,204.67,3,204.67,3,,,204.7,,,3,,,204.67,,,3,890.30,0.00,,0.00,30.70,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.00,0.00,0.00,0.00,0.00,,4,1,,1,3,,,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,,,2,,,,,,,,,,,,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,3,,5,4,5,5,,5,,,,5,,,,,,,,5,4,5,5,5,5,5,5,5,5,5,5,5,7,3,3,,1,5,1,1,3,,,1056.68,,1056.68
10419,1,1,,1,3,,,,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,7,5,,2,6,7,,1,1,,,,,,,,,,,2,,,1,1,,,,,,,,1,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,18,,,18,,,99999,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,2,3,3,3,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,2,,,,,,,,1535.00,2,859.97,1,511.67,5,286.66,3,511.67,,,5,,,286.66,,,3,,,,0.00,154.12,0.00,0.00,0.00,675.03,0.00,0.00,0.00,0.00,15.41,61.65,0.00,0.00,0.00,0.00,616.47,12.33,0.00,0.00,0.00,0.00,,1,3,1,1,1,5,1,1,1,1,2,3,1,1,1,1,4,2,1,1,1,1,1,2,3,,,,,,,,,,,20.00,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,2,5,5,5,,,,,,,,,,,,,,,5,3,5,5,5,5,4,4,4,5,,4,4,7,3,3,,2,3,3,1,1,,,796.96,,796.96
10420,2,2,5,1,1,2,7,8,,,,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,2,8,3,9,6,5,1,3,,5,1,6,,,,11,6,1,,,,,,,,,,,2,,,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,3,4,5,,7,,,,,,,,,,,,,,1,3,5,11003,,,,,1,,,,,,,,,,11,,13,,,,,1,,,,,6,,,,,3,1,2,22,23,23,11,22,,,,,,,,,,0,,0,,,,,23,,,,,,,,,,1,,1,,,,,22,,,,,,,,,,0,,0,,,,,23,,,,,,,,,,1,,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,22,,,,,,,,22,5371.50,5,3776.00,4,233.54,3,164.17,3,233.54,,,3,,,164.17,,,3,,,,0.00,1595.50,319.10,0.00,0.00,1595.50,0.00,0.00,0.00,0.00,138.28,74.46,0.00,0.00,53.18,0.00,1595.50,0.00,0.00,0.00,0.00,0.00,,1,5,4,1,1,5,1,1,1,1,4,3,1,1,3,1,4,1,1,1,1,1,1,,3,4,,,,,,,,,,20.00,0.00,70.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,2,,5,5,5,5,5,5,,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,5,7,3,18,,2,3,1,2,1,,,127.25,,127.25
10421,1,1,,1,1,7,9,8,1,3,6,,2,9,8,1,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,10,3,1,7,,,7,11,5,5,7,6,,6,1,,,,,,,,,,,1,0,0,2,,,,,,6,,,2,1,0,2,1,2,1,0,2,1,1,2,3,4,5,,,,,,11,,,,,,,,,,3,5,1,46508,,,,,1,,3,,,,,,,,,,13,,,16,17,1,,3,,,6,7,8,,,3,1,2,12,13,13,11,2,,1,,,,,,,,,,3,,,3,3,3,,2,,,,,,,,,,4,,,4,4,2,,1,,,,,,,,,,3,,,3,3,3,,2,,,,,,,,,,4,,,4,4,1,,1,,,,,,,,,,1,,,1,1,1,,,,,,,,,12,,,,,,,,12,,,,,,,,3974.91,4,2213.50,3,305.76,4,170.27,3,305.76,,,4,,,170.27,,,3,,,,0.00,587.14,587.14,587.14,0.00,1761.41,0.00,93.94,0.00,0.00,35.23,17.61,0.00,0.00,23.49,117.43,58.71,35.23,0.00,0.00,0.00,70.46,,1,5,4,4,1,5,1,2,1,1,3,2,1,1,2,4,3,3,1,1,1,1,,,3,4,,,,,,,,,,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,,,5,5,5,5,5,5,,,,,,5,,,,,,5,1,5,5,3,5,1,3,5,5,5,2,5,7,3,19,,1,3,1,1,1,,,154.67,,154.67
